"@authors","Translator: Lauren Lim(Karma_L)"
"evt-village-rest-killOffer-2","[$name 이/가 비록 나쁜 기벽을 갖고 있다고 해도|$name 은/는 우리 탐험대에서 중요하고 믿을 만한 대원이기 때문에], [우리들은 $그를 죽게 놔둘 수는 없었다| $그를 죽이는 것은 우리 탐험대의 소중한 일원을 없애버리는 것과 다름이 없었다]. [원주민은 나의 거절을 정중하게 받아들였고|마을 사람은 결정을 받아들였고] [마치 그 대화가 없었던 일인 것처럼 할 일을 계속했다|, 그럼에도 불구하고 우리들은 마을 사람들이 우리가 머무르는 내내 $name 을/를 계속 주시하고 있다는 느낌을 떨쳐낼 수 없었다]."
"evt-village-rest-killOffer-action","제안을 받아들인다"
"evt-village-rest-killOffer","[$name 의 이상한 행동은|$name 의 공격적인 태도는] [마을 사람들의 주의를 피할 수 없었다|마을 사람들의 신경을 매우 거슬리게 했다]. [잠시 정적에 싸인 동안|우리들은 자리에 앉았고] [그들 중 한 명이 나에게 제안을 하러 다가왔다|한 원주민이 내 귀에 대고 속삭였다]. [유감스럽게도|존중과 감사에 대한 표시로서], 그는 $name 을/를 [몰래 죽이고|암살하고|이 세상에서 지워버리고|죽이고] [$그의 시체를 처리하겠다고|$그의 시체를 눈에 보이지 않는 곳으로 없애겠다고|$그의 시신을 처분하겠다고] 제안했다."
"evt-village-rest-kleptomania","[저녁이 된 지 얼마 지나지 않아|그날 밤 늦게] [$name 은/는 한 원주민과 언쟁에 휘말리게 되었다|원주민들 중 한 사람이 $name 와/과 언쟁을 벌이게 되었다]. [마을 사람들은 $그를 도둑질로 고발했다|마을 사람들은 $name 이/가 뭔가를 훔쳤다고 주장했다]. [상황은 곧 진정되기는 했지만|마을 사람에게 우리는 그런 짓을 하지 않는다고 설득하는 데 성공하기는 했지만], [우리들은 우리들을 초대해 준 사람들에게 나쁜 평판을 얻었던 것이 틀림없었다|그날 밤 동안의 분위기는 끔찍했다|마을 사람들은 우리들의 존재를 의심스럽게 여기게 되었다]."
"evt-village-rest-loveStay-no","비록 내 마음이 몹시 아프기는 했지만, 우리들은 [누구도 잃게 두고 싶지 않았다|우리들이 모을 수 있는 최대한의 인원이 필요했다]. 나는 $그가 우리와 함께 해야만 한다고 고집할 수밖에 없었다. $name 은/는 그 결정에 매우 실망했던 것이 확실했지만, 나는 $그가 곧 [우리 앞을 기다리고 있는 모든 놀라운 모험들과 함께라면 이런 일 정도는 금방 잊게 될 것이라고|내 이성적인 선택에 감사할 것이라고|우리들의 모험 속에서 관심을 돌리게 될 것이라고] 확신했다."
"evt-village-rest-loveStay-yes-action","$name 을/를 남도록 허락한다"
"evt-village-rest-loveStay-yes-racist","$Name 은/는 새로운 한 쌍을 구역질나는 듯한 눈초리로 바라보았다."
"evt-village-rest-loveStay-yes","[어떻게 내가 $그의 요청을 거절할 수 있었겠는가?|그 누구도 사랑 앞을 막아설 자격은 없다.|그런 요청을 하는 $그를 내가 어떻게 거절할 수 있었겠는가?] 나는 $그에게 행운을 빌어주었고 $그의 사랑을 새롭게 찾게 된 것을 축하해 주었다."
"evt-village-rest-loveStay","우리들은 원주민들과 즐거운 저녁 시간을 보냈다. 그날 밤 $name 은/는 나에게 부탁을 하러 찾아왔다. $그는 원주민들 중 한 명과 사랑에 빠졌고, 탐험대를 떠나 [마을에|$그의 연인과 함께] [정착하기를 원했다|정착하기를 나에게 개인적으로 요청했다|정착하기 위해 내 허락을 구했다]."
"evt-village-rest-mummy-1","[우리들은 어쩔 수 없이|우리들은 상황을 진정시키고 싶었기 때문에,|우리들은 마을 사람들과의 관계를 망치고 싶지 않았기 때문에] 마을 사람들에게 미라를 건네주었다. 비록 그 다음에도 상황은 여전히 긴장되어 있기는 했지만, [우리들의 결정이 좀 더 위험한 상황을 만드는 것을 예방했다는 것은|우리들과 그들의 관계를 가능한 한 많이 끌어올렸다는 것은] 틀림없었다."
"evt-village-rest-mummy-2","[미라를 찾아낸 것은 우리들이었고 우리들이 바로 정당한 소유자였다|미라는 우리들의 고향에서 우리들에게 명성과 영예를 가져와줄 것이다]. 우리들은 미라를 가지고 있어야 한다고 맞섰고, 마을 사람들과 우리들 사이에 격렬한 언쟁이 벌어졌다. 합의점을 찾지 못한 채로 [더 이상 할 수 있는 일은 없었고|우리들은 다른 대안을 찾아내지 못했고] [밤을 보내기 위해|아침이 다가오기를 바라며] 잠을 청했다."
"evt-village-rest-mummy-action","미라를 넘겨준다"
"evt-village-rest-mummy","[한 원주민이 우리의 상자들 중 하나를 가리켰고|한 무리의 원주민들이 우리들의 상자들 중 하나의 주위를 둘러쌌고] [갑자기 마을 사람들이 화를 내며 다투기 시작했다|마을 사람들 사이에 갑작스러운 소란이 일어났다]. 그들은 우리들이 전에 [얻었던|획득했던] 미라를 [알아보았고|보았고], 우리에게 그것을 넘기라고 요구했다."
"evt-village-rest-no","우리들은 [마을 사람들과|원주민들과] [합의점에 이르는 데|거래하는 데|합의점을 찾는 데] [실패했다|성공할 수 없었다]."
"evt-village-rest-offerEat-1","$name 은/는 [조금 불편한 기색을 보였고|깜짝 놀라고 나서] 우리들에게 그 고기가 인육일 [가능성이 있다고|가능성이 없지 않다고] 알려주었다."
"evt-village-rest-offerEat-2","[우리들은 그들의 제안을 받아들였고 고기 그릇을 돌렸다|우리들은 마을 사람들의 심기를 거스르고 싶지 않았으므로, 그릇에 있는 고기를 먹었다]."
"evt-village-rest-offerEat-3","[우리들은 그릇에 담긴 고기를 먹는 것을 정중하게 거절했다|우리들은 제안을 무시했고 그들이 불편해하지 않기를 바랐다]."
"evt-village-rest-offerEat-action","먹는다"
"evt-village-rest-offerEat-yes","우리들은 그게 인육일리 없었다고 주장했지만, 그 뒤엔 [조금 이상한 느낌이 들었다|우리들의 입 안에 이상한 맛이 느껴지는 것 같았다|우리들의 손이 덜덜 떨렸다]."
"evt-village-rest-offerEat","이날 밤, 마을 사람들은 _의식_ 같은 걸 치렀다. 그들은 우리들에게 [끔찍한|맛있는] [냄새가 나는|향기가 나는] [끓인 음식이 담긴|요리된 고기가 담긴] 그릇을 가지고 왔다. [그 음식은 조금 원숭이 고기 느낌이 났다|그 음식은 아마도 닭고기 같은 맛이 날 것 같았다]."
"evt-village-rest-paranoid","[우리들이 모닥불 근처에 앉았을 때 $name 은/는 매우 신경질적으로 변했고 마을 사람들을 우리들에게 음모를 꾸미고 있다고 고발했다|이날 밤 $name 은/는 신경질을 냈고 마을 사람들이 우리들을 배신하려 하고 있다고 고발하기 시작했다]. [우리들의 도움으로, $그는 결국 진정되었지만, 우리들은 확실히 마을 사람들에게 부정적인 인상을 받게 되었다|마을 사람들은 확실히 심기가 불편해 보였고 그들의 미소가 더 이상 진심으로 느껴지지 않게 되었다]."
"evt-village-rest-positive-gameover-1","나는 몇몇 사람들에게 말을 걸었고 내가 마을에 남아 있고 싶다고 설명하려 노력했다. 이건 확실히 제정신이 아닌 선택으로 보이겠지만, 내 마음 속 어딘가에서 여기 머무르는 것이 옳다고 느껴지게 되었다."
"evt-village-rest-positive-gameover-2","나는 내 [여정의|삶의|욕망의|욕구의] 종착점을 발견했다. 그 [말도 안 되는|바보 같은|가식적인] 자화상의 의미는 무엇이었을까? 이곳에는 내가 필요로 했던 모든 것들이 있었다."
"evt-village-rest-positive-gameover-3","[나는 여기에 머물 것이다|이곳이 이제 나의 집이다|나는 이곳을 찾고 만 것이다|여기가 바로 내가 있어야할 곳이다|내가 돌아왔어], $name 이/가."
"evt-village-rest-positive-gameover-action","이곳에 영원히 머무른다"
"evt-village-rest-positive-gameover-cancel-action","계속 나아간다"
"evt-village-rest-positive-gameover-cancel","나는 이 근시안적인 소망이 열매를 맺지 못할 거라는 걸 알고 있었다. 최소한 지금은 그렇지 못했고, 나는 먼저 끝내야할 일이 있었다."
"evt-village-rest-positive-gameover","나는 이 사람들과 같이 몇 시간을 노래하고 춤추며 보냈고, 의사소통에 드는 모든 노력들을 잠깐 치워두었다. 나는 이 [야만인들의|문명화되지 않은 사람들의] 한 가운데에서 쉬었지만 오히려 지금까지의 나의 삶에서보다 더욱 [살아있는 듯한|생기있는|편안한] 느낌이 들었다. 나는 이 사람들과의 [연결점을|이해점을] 찾아냄으로써 마침내 하나가 된 듯한 기분을 느꼈다. 한 [바보같은|이상한] 생각이 내 머릿 속을 스쳐갔다. [우리들의 바쁘고 현대적인 삶이 정말로 이들의 힘들지만 단순한 삶보다 더 나은 것일까?|이들의 자연적인 방식의 삶이 서구 세계의 광적인 본성에 의한 삶보다 더 낫지 않을까?|그냥 내가 이 특별한 장소에서 나의 임무를 끝내고 이들과 함께 살아갈 수 없을까?]"
"evt-village-rest-questionGender-1","나는 여성이 더 우월하다고 대답했다. [여자는 조금 거만한 듯이 웃어보였고 내가 시간을 내준 것을 감사했다|그러자 여자는 그녀의 남자 친구에게 자기를 더 존중해 달라고 주장했다|남자는 나를 무식한 사람이라 부르고 떠나갔다]."
"evt-village-rest-questionGender-2","나는 남성이 더 우월하다고 대답했다. [여자는 나를 멍청한 광대라고 부르고 걸어나갔다|그러자 남자는 그의 여자 친구에게 자기가 우월하다는 것을 인정하라고 요구했다|남자는 그의 아내를 향해 입이 귀에 걸릴 만큼 거만하게 미소지었다]."
"evt-village-rest-questionGender-3","중재자의 위치에서 나는 양성 모두 각자의 장점을 가지고 있다고 대답했다. [그들은 놀란 것처럼 보였는데, 마치 이런 대답을 들을 줄 몰랐다는 듯 보였다.|그들은 평등이라는 개념을 듣고 서로 호기심 어린 눈길을 교환했다.|그들은 나에게 미소를 지으며 고개를 끄덕였다.]"
"evt-village-rest-questionGender-action-1","남성이 우월하다"
"evt-village-rest-questionGender-action-2","둘은 동등한 존재다"
"evt-village-rest-questionGender-action","여성이 우월하다"
"evt-village-rest-questionGender","[한 젊은|한 나이든] 커플이 나에게 그들의 말다툼을 중재해 달라고 부탁했다. 그들은 [어떤 성(性)이 더 우월한지를|남성과 여성이 과연 동등한 존재인지를] [알기를 원했다|알기를 소망했다|알기를 바랐다|알고 싶어했다]."
"evt-village-rest-questionMankind-1","우리들은 그에게 신께서 인간을 창조했다고 믿는다고 말했다. [그는 우리들의 설명을 듣고 조용히 고개를 끄덕였다|그는 우리들의 설명을 들었고 조용해졌다]."
"evt-village-rest-questionMankind-2","우리들은 인간이 진화의 결과라는 우리들의 의견을 그에게 설명해 주었다. [그는 우리들의 설명을 듣고 조용히 고개를 끄덕였다|그는 우리의 설명을 침묵을 지킨 채로 들었다]."
"evt-village-rest-questionMankind-3","우리들은 그에게 그 물음에 대한 답을 알지 못한다고 말해주었다. 그는 조용히 고개를 끄덕였지만 우리들의 대답에 조금 실망한 듯했다."
"evt-village-rest-questionMankind-action-1","진화"
"evt-village-rest-questionMankind-action-2","모른다"
"evt-village-rest-questionMankind-action","신"
"evt-village-rest-questionMankind","잠깐 조용하던 차에 마을 장로들 중 한 명이 [우리를 진지한 눈빛으로 쳐다보았고 누가 인류를 창조했는지 우리들이 알고 있는지를 물어보았다|누가 인류를 창조했는지에 대한 민감한 문제에 대한 나의 의견을 물어보았다]."
"evt-village-rest-questionPolygamy-1","나는 거짓말로 그에게 유럽 남성들은 다수의 아내를 거느린다고 말했다. 그는 고개를 끄덕였지만, 그가 내 대답에 만족했는지는 알 수 없었다."
"evt-village-rest-questionPolygamy-2","나는 우리들의 종교가 일부 다처제를 엄금한다고 말해주었다. 그는 고개를 끄덕였지만, 이 대답이 그를 만족시켰는지는 알 수 없었다."
"evt-village-rest-questionPolygamy-3","[호기심 많은|반짝이는 눈을 가진|살찐] [젊은|나이든] 여성이 [나에게 다가왔다|나에게 한 질문을 했다]. 그녀는 정말로 유럽인 여성이 많은 남편을 거느리는지 [알기를 원했다|알기를 바랐다|알기를 소망했다|알고 싶어했다]."
"evt-village-rest-questionPolygamy-4","나는 그녀에게 유럽인 여성은 수많은 남편을 거느린다고 말해주었다. 그녀는 나의 대답에 대해 골똘히 생각해 보았지만, 그녀가 대답에 만족했는지는 알 수 없었다."
"evt-village-rest-questionPolygamy-5","나는 우리들의 종교가 일부 다처제를 엄금한다고 말해주었다. 그녀는 나의 대답에 대해 골똘히 생각해 보았지만, 그녀가 대답에 만족했는지는 알 수 없었다."
"evt-village-rest-questionPolygamy-action-1","남자들은 한 명의 아내와 산다"
"evt-village-rest-questionPolygamy-action-2","여자들은 많은 남편들과 산다"
"evt-village-rest-questionPolygamy-action-3","여자들은 한 명의 남편과 산다"
"evt-village-rest-questionPolygamy-action","남자들은 많은 아내와 산다"
"evt-village-rest-questionPolygamy","[호기심 많은|반짝이는 눈을 가진|살찐] [젊은|나이든] 남성이 [나에게 다가왔다|나에게 한 질문을 했다]. 그는 정말로 유럽인 남성이 많은 아내들을 거느리는지 [알기를 원했다|알기를 바랐다|알기를 소망했다|알고 싶어했다]."
"evt-village-rest-questionSuperiorLife-1","나는 그들에게 내가 살았던 곳의 [모든 놀라운 점들에 대해|위대한 과학적 성취들에 대해|높은 삶의 질에 대해] 말해주었다. 나는 그들이 이 말을 듣고 실망했는지 아니면 감동했을지 궁금했다."
"evt-village-rest-questionSuperiorLife-2","난 그들에게 나는 자연과 밀접한 관계를 갖는 생활을 선호하고 그들의 삶의 방식을 존중한다고 말했다. 그들은 나의 대답을 듣고 눈에 띌 정도로 행복한 모습을 보였다."
"evt-village-rest-questionSuperiorLife-3","나는 그에게 [아직 결정하지 못했다고|그의 질문에 대답할 수 없다고|결정에 더 많은 시간이 필요하다고] 말했다."
"evt-village-rest-questionSuperiorLife-action-1","전원에서의 생활이 더 우월하다"
"evt-village-rest-questionSuperiorLife-action","문명화된 생활이 더 우월하다"
"evt-village-rest-questionSuperiorLife","나는 지금까지의 내 여행 이야기를 [해주었다|마을 사람들에게 해주었다]. 한 젊은 전사가 나의 [고향이|마을이|세계가] 그들의 [고향보다|마을보다] 더 좋은 곳인지 물어보았다."
"evt-village-rest-racist","[우리들이 모닥불 근처에 앉자마자 $name 은/는 원주민들 중 한 명과 소란스러운 언쟁을 벌이기 시작했다|우리들 대부분이 원주민들의 환대에 즐거워한 반면, $name 은/는 우리들을 초대해 준 이들을 계속해서 모욕했다]. [비록 상황이 크게 번지지는 않았지만, 우리들은 마을 사람들에게 확실히 나쁜 인상을 준 것으로 보였다|마을 사람들은 정말로 심기 불편해했고 이 모든 상황은 우리들의 관계에 좋지 않은 영향을 주었다]."
"evt-village-rest-rash-1","나는 [무례하게 보이고 싶지 않았고|누구도 불편하게 만들고 싶지 않았고] 그 아이가 나를 안아주는 것을 허락했다. 나는 신에게 [그 발진이|그 병이] 옮지 않기를 기도했다."
"evt-village-rest-rash-2","[그 발진은 전염성이 있어 보였기 때문에|그 아이가 가진 질병은 위험할 수 있었기 때문에|치료보다는 예방이 더 나은 법이므로], 나는 [아이에게서 한 팔 간격 정도 떨어져 있도록|어떠한 신체 접촉도 피하도록|너무 가까이 가지 않도록|아이를 멀리 쫓아내도록] 애썼다. 하지만, 이 일은 원주민들에게 좋지 못한 인상을 남겼다."
"evt-village-rest-rash-action-1","떨어져 있는다"
"evt-village-rest-rash-action","안아주는 것을 허락한다"
"evt-village-rest-rash","한 어린 아이가 우리들이 머무르는 것을 매우 즐거워하며 [나를 포옹하기 위해 그의 두 팔을 벌리고 달려왔다|내가 그녀를 안아주도록 하기 위해 달려왔다]. 그 아이의 목과 팔에는 _발진이_ 눈에 띄게 돋아나 있었다."
"evt-village-rest-tiedUnit-1","그들은 $name 을/를 풀어주고$그는 [내 품에 안겼고|울기 시작했고|덜덜 떨며 서 있었고], [거듭해서|나에게] [용서해 주어서|구해 주어서] [고맙다고 말했다 | 감사하다고 말했다]."
"evt-village-rest-tiedUnit-2","나는 마을 사람들이 $name 을/를 알아서 처리하게 놔두었다. 아마도 그들은 [$그를 풀어줄 지도 모른다|$그를 처벌할지도 모른다|$그를 가둘지도 모른다], 아니면 말고. [이제 그 일은 더 이상 내 소관이 아니었다|나는 $그를 다시 만나지 않았다]."
"evt-village-rest-tiedUnit-3","나는 마을 사람들이 $name 을/를 알아서 처리하게 놔두었다. 어쩌면 그들이 [$그를 풀어줄 지도 모른다|$그를 처벌할지도 모른다|$그를 가둘지도 모른다], 아니면 말고. [그 일은 이제 내 권한 밖의 일이었다|나는 두번 다시 $그에게 눈길을 주지 않았다]."
"evt-village-rest-tiedUnit-action","몸값을 지불한다"
"evt-village-rest-tiedUnit-barter","우리들은 그들이 $그를 놓아주기 위해 얼마만큼의 몸값이 필요한지 교섭했다."
"evt-village-rest-tiedUnit","내 눈을 믿을 수 없었다. 나는 $name 이/가 마을 뒤쪽의 [나무에|기둥에|울타리에] 묶여 있는 것을 발견했다. 내가 보기에 $그는 [아이를 때렸던 듯하다|음식을 훔치려 했던 것으로 보인다|창 하나를 훔치려 했던 듯하다|한 마을 사람을 공격하려고 했던 것으로 보인다]. $그를 놓아주기 위해 나는[약간의 물건들을 선물해 주어야 했다|$그의 공격적인 행동에 대한 배상을 해야만 했다]."
"evt-village-rest-tutorial","마을 사람들 중 한 명이 며칠 전쯤에 나에게 거대한 나무 물고기를 보았다고 말했다. 그게 나의 배를 말하는 것이었을까?"
"evt-village-rest-unlockSpecialWorld-1","우리들은 마을 사람들과 [합의를 이루는 데|합의점에 도달하는 데|비용을 협상하는 데|협상하는 데] 실패했다."
"evt-village-rest-unlockSpecialWorld-action-1","제안을 거절한다"
"evt-village-rest-unlockSpecialWorld-action","정보에 대한 대가를 치른다"
"evt-village-rest-unlockSpecialWorld-no","나는 그의 제안을 정중하게 거절했다. 우리들은 다음 여정때 들를만한 장소가 충분히 있었다."
"evt-village-rest-unlockSpecialWorld","한 원주민이 나에게 한 가지 _제안을_ 하러 왔다. 그는 우리들의 다음 탐험때 갈만한 멀리 떨어진 장소를 알고 있다고 말해주었다. 하지만, 그는 이 정보에 대한 대가를 요구했다."
"evt-village-rest-whisky-1","우리들은 [정중하게 보이고 싶었고|무례하게 보이고 싶지 않았고] [우리가 가진 위스키들 중|술병들 중] 한 병을 [넘겨주었다|그에게 주었다]. 마을 사람은 병을 [갖게 되자|집고 나서|받고 나서] [매우 고마워했고|기뻐하는 것처럼 보였고] [술병을 든 채로 오두막들 중 한 곳을 향해 사라졌다|저녁 내내 술을 마셨고, 꽤나 취해 있는 상태가 되었다|밤새 그의 친구들과 함께 술을 나눠 마셨다|나중에 마시기 위해 술을 옷가지로 감싸 두었다]."
"evt-village-rest-whisky-2","우리들은 소중한 위스키를 줄 수 없었고 마을 사람의 요청을 거절했다. 그는 정중하게 받아들였다."
"evt-village-rest-whisky-action","위스키를 준다"
"evt-village-rest-whisky","[우리가 모닥불 주위에 앉고 나서 원주민들 중 한 명이 다가와|원주민들 중 한 명이 우리들을 잠시동안 바라보고 나서] 그가 우리가 가진 위스키들 중 한 병을 [가져도 되는지|나눠줄 수 있는지] 물어보았다."
"evt-village-rest","나는 마을 안에서 밤을 보내기로 했다."
"evt-village-stealIdol-action","우상을 훔친다"
"evt-village-stealIdol-fail","마을 사람들이 우리가 _우상을_ [훔치려는|가지고 도망가려는] 것을 발견했다. 그들은 [분노했고|충격을 받고|엄청나게 실망했고] 무기를 꺼내들었다. 우리들은 그들이 공격하기 전에 최대한 빨리 달아나야만 했다. 이곳에 두번 다시 돌아오지 않는 것이 현명해 보였다."
"evt-village-stealIdol-success","우리들은 [우상을|작은 석상을] [들키지 않게|은밀하게|마을 사람들이 밤에 자러간 틈을 타서] [도둑질했고|훔쳤고|빼돌렸고|가져갔고|집어들었고] 마을을 [잽싸게|황급히야음을 틈타] 떠났다."
"evt-village-trade-1","우리들은 [마을 사람들과|원주민들과] [합의점에 도달하는 데|거래에 성공하는 데|협상을 이루는 데] [실패했다|성공할 수 없었다|이르지 못했다]."
"evt-village-trade-refuse","마을 사람들은 우리들과 거래하는 것을 거절했다."
"evt-village-trade","나는 [마을 사람들과|원주민들과] [합의점을 찾아냈다|거래했다|거래하는 데 성공했다]."
"evt-waterfall-explore","[우리들은 크고 아름다운 폭포에 도착했다|이 폭포는 매우 웅장했다|이 폭포는 정말로 장관이었다|나는 폭포의 웅장함에 숨이 멎는 듯했다]. 정말 멋진 광경이었다. [물은 맑고 시원했다|대자연은 이 폭포 하나만으로 그녀의 우아함을 손쉽게 증명해 주었다|물은 신선한 산들바람과 함께 주변 공기를 시원하게 해주었다]."
"evt-waterfall-morning-1","내가 아침을 맞아 세안을 하는 동안, $name 이/가 숨겨진 통로를 찾아냈다. 확실히 그 통로는 폭포 뒤쪽에 있는 숨겨진 동굴로 향해 있었다."
"evt-waterfall-morning","[며칠 동안 쉰 뒤에 우리들은|우리들이 출발할 준비를 마쳤을 때 나는] 폭포의 [잔잔한 소리를|시원한 물소리를|노랫소리를|떨어지며 흩어져 내리는 물방울들을|평화로운 노랫소리를] [계속 즐기고 있었다|그리워할 거라고 여겼다]. [여기는 참으로 아름다운 곳이었다|이곳은 내 영혼을 들뜨게 해주었다|이 폭포는 정말 아름다웠다|이곳에서 대자연의 아름다움을 바라볼 때마다 숨이 멎는 기분이었다]."
"evt-world-initQuests-1","$name 은/는 $그가 [가고 싶어하는|가고자 하는|가기를 원하는|도착하고 싶어하는] 마을의 위치를 지도에 [찍어 주었다|표시했다|가리켰다]."
"evt-world-initQuests-2","고맙게도 그 [부유한|부자|돈 많은|잘사는] 외국인이 지도에 그가 이전에 살았던 마을의 위치를 표시해 주었다. 나는 그곳에서 그의 반려자를 찾을 수 있을지 궁금했다."
"evt-world-initQuests","아마도 우리들은 _편지를_ 먼저 [건네주어야 할 것 같았다|건네주는 것이 좋을 것 같았다]. [편리하게도|다행히도|고맙게도] 그 남자가 지도에 마을의 위치를 [표시해 놓았다|찍어 놓았다|가리켜 놓았다]."
"fxt-altar-name","제단"
"fxt-blessingTemple-name","사원"
"fxt-camp-name","캠프가 설치된 곳"
"fxt-cave-explored-name","무너진 동굴"
"fxt-cave-name","동굴 출입구"
"fxt-cenote-name","세노테"
"fxt-elephantGraveyard-name","코끼리 무덤"
"fxt-fumarole-name","분출구"
"fxt-geysir-active-name","활동적인 간헐천"
"fxt-geysir-spawn-inactive-name","비활동 간헐천"
"fxt-giantSkeleton-name","거대한 해골"
"fxt-giantTree-name","거대한 나무"
"fxt-glacier-giant-1-name","거대한 빙하"
"fxt-goldenSeal-basic-name","황금 봉인"
"fxt-goldenTemple-buried-name","묻힌 피라미드"
"fxt-goldenTemple-unearthed-name","황금 피라미드"
"fxt-healingSprings-name","치유의 샘"
"fxt-magneticMountain-name","자석 산"
"fxt-mission-name","선교소"
"fxt-monsterDen-giantSpiders-name","거대 거미 동굴"
"fxt-monsterDen-hyena-name","하이에나 동굴"
"fxt-mountainFace-name","얼굴이 조각된 산"
"fxt-oasis-name","오아시스"
"fxt-oldCamp-name","낡은 캠프"
"fxt-overhang-name","바위 쉼터"
"fxt-portal-name","포탈"
"fxt-portal-tome-action","포탈로 들어간다"
"fxt-polarStation-A-name","극지 기지 A17"
"fxt-polarStation-B-name","극지 기지 B34"
"fxt-polarStation-C-name","극지 기지 C86"
"fxt-raptorNest-name","랩터 둥지"
"fxt-rockFormation-name","암반층"
"fxt-shamanHut-name","주술사의 오두막"
"fxt-ship-name","당신의 배"
"fxt-shipwreck-name","난파선"
"fxt-shrine-2-name","신전"
"fxt-slaver-name","노예 상단"
"fxt-stoneCircle-destroyed-name","파괴된 환상열석"
"fxt-stoneCircle-name","환상열석"
"fxt-stoneStatue01-name","석상"
"fxt-tomb-1-name","무덤"
"fxt-trader-name","교역 상단"
"fxt-village-1-name","원주민 마을"
"fxt-volcano-spawn-large-active-name","활화산"
"fxt-volcano-spawn-large-inactive-name","화산"
"fxt-waterfall-name","폭포"
"gallery-choose","당신의 캐릭터를 고르세요"
"gallery-random","무작위 탐험가"
"gameover-combat","당신은 전투에서 죽었습니다."
"gameover-noSanity","당신의 탐험대는 전멸했습니다."
"gameover-theEnd","끝"
"gameover-chasm","당신의 탐험대는 깊고 어두운 골짜기 속으로 떨어졌습니다."
"gameover-void","당신의 탐험대는 어두운 공허 속으로 빨려들어갔습니다."
"gol-goldenTemple-arctic","황금 피라미드를 이 지역에서 찾을 수 있습니다."
"gol-goldenTemple-buried","황금 피라미드가 땅에 파묻혀 있습니다."
"gol-goldenTemple-moonStone","황금 피라미드를 이 지역에서 찾을 수 있습니다."
"help-balloon","열기구에 탑승하여 탐험을 포기합니다. 열기구를 설치하기 위해서는 최소 두 명 이상의 사람들이 필요합니다. 열기구의 수납공간은 제한되어 있습니다."
"help-barter","당신의 거래에서 합의점을 찾는 데까지 얼마나 근접한지를 보여줍니다. 원주민들과 거래할 때는 그들에게 더 많은 물품을 제공함으로써 평판을 높일 수 있습니다."
"help-capacity","운송량은 이 캐릭터가 제공하는 물품칸의 갯수을 의미합니다. 물품칸은 탐사대의 모든 대원들이 공유합니다."
"help-challengeAttack","이 효과를 사용하려면 여기를 클릭하세요."
"help-challengePin","진동하고 있는 주사위는 연계 플레이가 가능하다는 것을 보여줍니다."
"help-challengeRoll","주사위를 굴리려면 여기를 클릭하세요."
"help-challengeRound","라운드를 끝내려면 여기를 클릭하세요."
"help-challengeUnpin","해제하려면 주사위를 클릭하세요."
"help-combat-enemyDie","이 주사위는 당신의 적이 당신의 탐사대원들에게 줄 피해량을 계산하기 위해 굴려집니다. 적을 해치워서 그 적의 주사위도 같이 해치워 버리세요."
"help-combat-flee","당신이 주사위를 들고 있는 동안에는 언제든지 도망칠 수 있습니다. 물론 도망치려면 그 대가도 따르겠지만요."
"help-combat-reroll","당신은 모든 주사위들을 제한된 횟수만큼 다시 굴릴 수 있습니다. 당신은 이미 던져진 주사위들 중 몇 개를 클릭해서 다시 굴려지지 않도록 빼낼 수도 있습니다."
"help-combat-roll","여기를 눌러 주사위를 굴리세요!"
"help-combat-shield","들어오는 피해량이 방어도만큼 감소합니다."
"help-combat-noCombo","유효한 주사위 연계가 없습니다!"
"help-combat-noCombo-sub","주사위를 다시 굴리거나, 라운드를 마칠 수 있습니다."
"help-compass-info","나침반 진행상황"
"help-compass","나침반은 피라미드가 위치할 만한 장소를 가리킵니다. 나침반은 당신이 많이 탐사할수록 더 정확해집니다."
"help-dice","주사위는 전투 인카운터 동안 굴리게 됩니다. 더 많은 주사위를 가질수록, 당신은 강해집니다."
"help-easyDifficulty","새로 시작하는 플레이어나 나레이션을 즐기고 싶은 사람들에게 추천합니다."
"help-eventtypes-bad","대체로 부정적"
"help-eventtypes-good","대체로 긍정적"
"help-eventtypes-neutral","중립적"
"help-eventtypes-zero","대참사"
"help-eventtypes","예상되는 사건의 정도"
"help-fame","세계를 탐사하고 황금 피라미드를 찾아서 명성을 획득합니다. 명성을 이용해 경쟁자들을 이기세요."
"help-hardDifficulty","새로운 단계의 전략이 요구됩니다. 숙련된 플레이어에게만 추천합니다."
"help-health","체력은 상처가 감염되지 않는 한 전투를 마치고 나면 재생됩니다."
"help-levelUp","탐사 점수를 사용해서 이 캐릭터를 진급시킵니다."
"help-lostStash","당신의 은닉처가 파괴되었습니다!"
"help-mediumDifficulty","표준 난이도 설정입니다. 조금 거칠지만 대처가 가능합니다."
"help-overburden","$val 개의 물품칸이 부족합니다!"
"help-overfilled","당신의 탐사대원들이 너무 많습니다!"
"help-racebar-info","남은 도착 예정일"
"help-raceBar","당신의 경쟁자들이 그들의 탐험 목표에 얼마나 가까이 도달했는지를 보여줍니다. 만일 당신이 다른 경쟁자들보다 더 빨리 목적지에 도착한다면 빠른 귀환에 따른 경쟁 보너스를 얻게 됩니다."
"help-sanity","탐사대원들의 정신상태입니다. 0으로 떨어진다면 더욱더 비극적인 참사들이 발생하기 시작합니다."
"help-settings-button","게임의 설정을 보여줍니다."
"help-settings-customCursor","게임 분위기에 맞는 마우스 커서를 사용합니다."
