"@authors","Rômulo Wehling Magalhães, Macalango"
"evt-sanity-nativeVisit-invite","Nós os convidamos para se juntarem a nós. Eles aceitaram com satisfação e se sentaram, compartilhando histórias junto à fogueira."
"evt-sanity-nativeVisit-sendAway-1","[Nós não podíamos confiar em nativos desconhecidos nesta região|Confiar neles era um risco que eu não estava disposto a correr]. Sem [mais delongas|pensar duas vezes], eles partiram e foram rapidamente engolidos pela noite."
"evt-sanity-nativeVisit-sendAway-action","Mandá-los embora"
"evt-sanity-nativeVisit-sendAway","Eu disse a $name para mandá-los embora."
"evt-sanity-nativeVisit","[Ouvimos algo sussurrar nos arbustos próximos|Estranhos surgiram aparentemente do nada|Visitas inesperadas chegaram]. [Nós ficamos surpreendidos por ver|Fomos abordados por] nativos, [vestidos em peles de animais|quase completamente nus|pintados com cores vivas|envolto em vestes|vestindo traje completo de guerreiro]."
"evt-sanity-nightmare-1","Eu tentei ignorar a gritaria incessante, mas a perturbação nos negou qualquer chance de nos recuperarmos de nossa caminhada."
"evt-sanity-nightmare-2","$name não se impressionou com minha decisão e parecia ressentir a falta de sono que eu aparentemente lhe havia causado."
"evt-sanity-nightmare-3","Eu acordei $name e lhe [pedi|disse] para dormir próximo de nosso acampamento."
"evt-sanity-nightmare-4","A distância abafou seus gritos e fomos finalmente capazes de [dormir profundamente|ter algumas horas de paz|recuperar um pouco do sono que havíamos perdido]."
"evt-sanity-nightmare-5","Infelizmente algo tinha acontecido a $him enquanto $he dormia {sozinho|sozinha} na floresta. [Na manhã seguinte, não havia nenhum rastro $his|$He tinha se ido|$He tinha desaparecido sem deixar rasto pela manhã]."
"evt-sanity-nightmare-action","Separar"
"evt-sanity-nightmare","A condição mental de $name tinha [prejudicado o seu melhor|levado vantagem]. $He [sofria de|era vítima de] pesadelos que lhe faziam gritar e berrar [na|durante a] noite."
"evt-sanity-paranoid-racist-1","[Supostamente $name|Acusava-se que $name] [praticava canibalismo e nos mataria durante o sono e comeria a nossa carne|trairia a nossa causa, pois servia uma cultura depravada qualquer|espiava para uma tribo nativa hostil]. Após algum tempo nós conseguimos acalmar a situação, [mas tinha sido bastante cansativo para o grupo todo|mas o humor já tinha sido estragado e toda a gente estava no limite|mas os dois fizeram o seu melhor para evitar um ao outro durante o resto da expedição]."
"evt-sanity-paranoid-racist","[Houve um incidente com $name|$name perdeu a compostura|$name começou a se comportar de uma forma bastante peculiar|$name assustou o grupo]."
"evt-sanity-paranoid-rope-1","Nós derrubamos $name no chão e tivemos que usar uma força considerável para conseguir conter $he."
"evt-sanity-paranoid-rope-2","Nós lutamos com $name até o chão e tivemos que usar a força para conter $he apropriadamente."
"evt-sanity-paranoid-rope-3","$name teve azar durante o processo e teve um pedaço de carne removido por uma mordida [na perna|no braço|na mão|no pescoço]."
"evt-sanity-paranoid-rope-4","Felizmente nós tínhamos corda que podíamos usar para amarrar $name antes que mais alguém fosse ferido. [$Name desculpou-se profundamente e disse que não tinha memória do incidente|$Name murmurou numa língua fora deste mundo enquanto chorava|$Name falou de vozes paranormais comandando as suas ações terríveis|$Name afirmou ter sonambulismo e não conseguia se lembrar de nada da confusão]."
"evt-sanity-paranoid-rope-action-1","Amarrar $name"
"evt-sanity-paranoid-rope-action","Atacar $name"
"evt-sanity-paranoid-rope","Nós acordamos para uma comoção esta noite e encontramos $name [estrangulando|esganando|sufocando] um dos membros da expedição."
"evt-sanity-paranoid","[Houve um incidente com $name|$name perdeu a sua compostura|$name começou a comportar-se de forma peculiar|$name assustou o grupo]. [$He chateou-se e acusou os outros de conspirar contra $him|$He insistiu que $he tinha visto algo paranormal, movendo-se nas sombras |$He recuou e começou a gritar loucamente, acusando os outros de envenenar as rações |$He balbuciava continuamente sobre ser espiado e começou a gritar histericamente]. [Logo após eu ser capaz de acalmar $him|Eu consegui colocar juízo na sua cabeça| Eu fui capaz de acalmar $him], [mas a situação tinha sido muito cansativa|mas o clima estava estragado e toda a gente estava no seu limite]."
"evt-sanity-positive-acknowledge","$name [aproximou-se e sentou ao meu lado perto do fogo|aproximou-se de mim]. $He contou-me sobre [o quanto $he apreciava a nossa expedição|as suas experiências nestes últimos dias] e [concordou|prometeu|jurou|fez um juramento] que [seguiria a minha liderança|ficaria ao meu lado|apoiaria as minhas decisões], [não importando o que acontecesse|em qualquer circunstância|independentemente do que os próximos dias nos reservassem]."
"evt-sanity-positive-animalHandler-1","$name gostava desta atenção."
"evt-sanity-positive-animalHandler","Eu conseguia perceber que $name realmente [gostava de|se importava com|tinha afeto por|tinha fascínio por] animais. $He [acalmava-se|sentia-se em paz|sentia-se como um deles|sentia grande satisfação|estava feliz] sempre que $he conseguia [ensinar um pequeno truque|cuidar dos animais|faze-los contentes|fazer carícias a um animal]."
"evt-sanity-positive-cook","$name serviu uma surpresa especial hoje. Como um bom [improvisador|chef inventivo], $he tinha coletado uma variedade de ervas e as combinou numa das sopas mais estranhas e [deliciosas|requintadas] que eu já provei. Naquela noite eu tive o sono mais pesado durante algum tempo. [No entanto, o problema era que|Infelizmente,|Mas] $he não se lembrava que ervas tinha combinado."
"evt-sanity-positive-fame-stars-1","$name [balançou a cabeça perante meu comportamento estranho|imitou meus maneirismos, talvez em escárnio ou respeito|assentiu em aprovação e apontou para algumas estrelas enquanto me dizia seus nomes]."
"evt-sanity-positive-fame-stars-2","$name desaprovou minha atividade e me avisou sobre a arrogância humana ao estudar coisas que deveriam permanecer desconhecidas."
"evt-sanity-positive-fame-stars","Renunciando o sono, eu observei atentamente a posição das estrelas neste [estranho|único|especial|fantástico|bastante notável|verdadeiramente fascinante|transcendental|requintado] céu noturno. Eu reparei [uma estrela brilhante|uma formação de estrelas|um aglomerado de estrelas|um padrão|uma constelação] bastante peculiar. Eu tinha a certeza que alguém no mundo Ocidental iria apreciar esta informação."
"evt-sanity-positive-flavor-camp-1","$name [separou-se do grupo e comeu só|sentou-se só, longe da fogueira|excluiu-se da equipe|procurou solidão longe da equipe de expedição], [aparentemente triste com alguma coisa|murmurando amargamente sobre uma coisa e outra|claramente sentindo-se para baixo]."
"evt-sanity-positive-flavor-camp-2","$name [observou o céu noturno|murmurou incoerentemente para as estrelas|parecia perdido em seus pensamentos]."
"evt-sanity-positive-flavor-camp-3","[$name sussurrou discretamente uma prece|Eu ouvi $name rezando pelo bem-estar da expedição|Antes de irmos para a cama, $name ficou ao lado da fogueira e proferiu uma oração]."
"evt-sanity-positive-flavor-camp-4","$name [estava claramente assustado e aconchegou-se perto da fogueira|vigiou os arredores com olhos arregalados e temerosos, como se um animal fosse saltar e o devorar a qualquer momento|, por alguma razão, parecia irracionalmente no limite]."
"evt-sanity-positive-flavor-camp-5","$name [limpou sua arma e equipamento|parou junto do calor da fogueira e observou a escuridão próxima|patrulhou a área com sua arma de prontidão]."
"evt-sanity-positive-flavor-camp","Esta era uma terra verdadeiramente [estranha|única|especial|fantástica|notável|fascinante|de outro mundo|alienígena|excêntrica], e nós estávamos curiosos em saber que maravilhas [nos aguardavam|estavam à espera de serem descobertas]."
"evt-sanity-positive-flavor-diary-1","Eu reparei que $name me [observava|assistia] [de perto|friamente|melancolicamente|com olhos devassos|de uma forma que mostrava desejo|com um sorriso na cara|curiosamente|com intriga|com inveja nos olhos|com uma expressão estranha|furtivamente]."
"evt-sanity-positive-flavor-diary","[Eu apreciava a noite quente|Eu sentia um grande prazer sentando-me perto da crepitante fogueira] e [usei o tempo ocioso|tirei um momento|utilizei a calmaria|peguei minha maleta] para anotar [os últimos dias|as nossas aventuras recentes|os acontecimentos recentes|os meus pensamentos pessoais|as minhas experiências] [no meu diário de viagem|no meu diário|no meu caderno|no meu diário pessoal]."
"evt-sanity-positive-memory","Era uma noite [estrelada|silenciosa|calma]. Pela primeira vez senti-me à vontade com [a natureza|o mundo|as maravilhas] à minha volta. Eu pensei {no meu velho companheiro|na minha velha companheira} $name e perguntei-me sobre a natureza do seu destino. Porque é que $he tinha desaparecido? Voltaríamos a nos encontrar neste mundo ou no próximo? Porque é que eu ainda estava aqui?"
"evt-sanity-positive-missionary-1","$name [escutou em silêncio|se emocionou e começou a chorar|assentiu com aprovação], e depois $he parecia ter descoberto [uma nova visão da|uma melhor compreensão da|um novo vigor para a|uma nova perspectiva da] nossa aventura."
"evt-sanity-positive-missionary","Enquanto estávamos [descansando|sentados] à volta da fogueira, $name [levantou-se|deu um passo em frente|levantou-se corajosamente|saltou] e deu [uma palestra|um discurso|um sermão] sobre a mão do destino em nos reunir para experimentar essas maravilhas majestosas."
"evt-sanity-positive-native-1","Antes de irmos dormir, $name parou perto da fogueira e rezou por nós."
"evt-sanity-positive-native","$name começou a cantar [uma canção estranha|numa língua estrangeira]. Enquanto que a melodia era inicialmente um bocadinho difícil de seguir, nós logo nos acalmamos e olhamos para [a fogueira|o céu estrelado|a noite escura] enquanto o cantar nos aliviava as mentes."
"evt-sanity-positive-nativeScout-1","$name [observou a situação com óbvia desconfiança|murmurou algo, olhando friamente para o nativo]."
"evt-sanity-positive-nativeScout","[$name tinha vasculhado a área|$name tinha patrulhado a área]. [Ao regressar $he descreveu as suas descobertas desta área|Quando $he regressou disse-nos que já tinha estado aqui antes], [e marcou alguns pontos no nosso mapa|e indicou uns locais favoráveis no nosso mapa|e ajudou-nos a melhorar o nosso mapa]."
"evt-sanity-positive-nativeShaman","Enquanto $name [andava em volta do nosso acampamento para o abençoar|fazia uma dança ritualística para abençoar o próximo dia], $ele acidentalmente descobriu cogumelos preciosos que partilhou comigo."
"evt-sanity-positive-nativeWarrior-1","$name estava ansioso para preparar a nova comida sem demora."
"evt-sanity-positive-nativeWarrior","$name explorou a [área em volta do nosso|a vizinhança do nosso] acampamento. $He regressou algumas horas mais tarde com [um sorriso arrogante|um sorriso feliz|uma expressão orgulhosa] na sua cara. Nas suas mãos $he segurava a carne [sangrenta|engordurada] de algum [pobre|infeliz] animal. Eu não conseguia dizer a que animal pertencia aquela carne, mas se calhar era mesmo melhor ficar ignorante."
"evt-sanity-positive-playing","[Era uma boa noite|O céu estava verdadeiramente anódino|O grupo estava num estado mental razoavelmente bom]. $name [parecia estar se divertindo|teve um momento agradável|partilhou um momento pessoal|riu e brincou|parecia em bons espíritos] enquanto se sentavam [perto da fogueira|numa caixa de provisões|no chão|numa pedra grande] e [jogavam cartas como camaradas|cantavam uma canção alegre|nos entretiam com uma história|jogavam xadrez|jogavam dados|falavam sobre poesia|jogavam pedra, papel ou tesoura|passavam o tempo jogando gamão|jogavam uma rodada de Halma]."
"evt-sanity-positive-sailor","Enquanto nos sentávamos perto da fogueira, $name revelou duas garrafas de uísque que $he tinha guardado secretamente. Eu preferia não saber onde é que $he as tinha escondido até agora."
"evt-sanity-positive-soldierBritish","$name veio até mim [assobiando uma melodia alegre|com um sorriso enorme no rosto|com boas notícias]. Ao investigar o nosso inventário $he tinha descoberto algumas munições [antigas|de reserva] que tínhamos de alguma forma perdido."
"evt-sanity-positive-trader","$name disse-me que um camarada tinha aconselhado $him sobre um comerciante que andava viajando por estas terras. Se nos apressássemos, poderíamos ser capazes de trocar por alguns bens valiosos."
"evt-sanity-positive-translator-action-1","Ir dormir"
"evt-sanity-positive-translator-action","Ficar {acordado|acordada} mais e seguir aprendendo"
"evt-sanity-positive-translator-no","Eu tinha aprendido o suficiente por hoje. Nós [finalmente|prontamente] fomos dormir já que amanhã teríamos outro dia [árduo|longo] pela frente."
"evt-sanity-positive-translator-yes","Eu fiquei {acordado|acordada} [por muito mais tempo do que o habitual|até tarde da noite] e [anotei|memorizei] o maior número de palavras que consegui. Quando finalmente [concordamos|decidimos|escolhemos] ir dormir, eu [já sabia que sentiria o cansaço no dia seguinte|já conseguia ver o sol nascendo no horizonte]."
"evt-sanity-positive-translator","$name veio até mim e perguntou-me sobre o significado de algumas palavras que $he me ouviu usar. Nós procedemos então a uma rica troca de linguagem. Foi um momento esplendidamente emergente de camaradagem, apenas interrompido pela hora tardia."
"evt-sanity-return-angryLeave-1","Eu [alegremente saudei o seu regresso|aceitei a sua mudança de ideias de bom grado|estava contente por ter $him ao meu lado novamente]. [Nestas terras realmente tudo podia acontecer|Eu tinha parado de tentar antecipar tal comportamento|Eu perguntei-me como é que $he nos tinha seguido]."
"evt-sanity-return-angryLeave-no","Eu não sabia se $he era confiável, então com a minha arma empunhada, eu fiz $him afastar-se. $He parecia triste."
"evt-sanity-return-angryLeave","[De repente $name apareceu outra vez hoje|Sem aviso, $name voltou para nós como se nada tivesse ocorrido no interim|Foi uma surpresa ver $name aproximando-se da nossa localização hoje]. [Pensei que nunca mais ia voltar a ver $him uma vez que $he tinha nos deixado há muito tempo|A não muito tempo atrás $he voluntariamente deixou a expedição|A última vez que vi $him, $he não estava com a mente sã]. [Aparentemente $he tinha voltado aos seus sentidos|Depois de ter ficado algum tempo lá fora só, $he percebeu onde $he poderia ter mais sucesso|Eu podia apenas imaginar o que $him tinha passado la fora, completamente só, mas $he tinha obviamente reconsiderado] e [implorou-me que levasse $him conosco|tinha muita motivação para juntar-se novamente a nossa causa|prometeu não causar mais nenhum tipo de confusão]."
"evt-sanity-return-imaginary-1","Eu recebi $name na expedição, contente por ter a companhia de um humano mais uma vez. Possivelmente o nosso empreendimento seria bem sucedido [no final|afinal de contas]. $He não tinha muito, mas $he partilhou comigo o restante dos seus bens."
"evt-sanity-return-imaginary-2","Algo [estava estranho|não parecia certo|fez-me hesitar]. Eu não podia confiar nesta pessoa, e de armas empunhadas fiz com que $him se afastasse. [Passado alguns momentos comecei a perguntar-me se eu teria imaginado todo aquele incidente.|Eu não conseguia parar de pensar que talvez toda aquela situação fosse uma criação da minha mente.]"
"evt-sanity-return-imaginary-action-1","Mandar embora"
"evt-sanity-return-imaginary-action","Dar as boas-vindas a $name"
"evt-sanity-return-imaginary","[Eu ansiava por interação humana|Eu me senti como a pessoa mais solitária sob o céu noturno|Hoje à noite o céu apareceu como um manto preto, pronto para me consumir completamente]. [De repente|Eu acordei quando] uma mão me tocou no ombro. Eu [saquei rapidamente a minha arma|me virei] e vi a face [sorridente|com um sorriso convencido] de $name."
"evt-sanity-timAlone","$name se sentou perto da fogueira, [entregue nos seus pensamentos|chorando silenciosamente], enquanto acariciava [ternamente|carinhosamente] uma antiga coleira de cão. Não havia [nada|uma coisa|nem uma coisa|absolutamente nada] [para dizer|que eu pudesse fazer para que se sentisse melhor|tão triste quanto ao sentimento de se estar sozinho neste mundo]."
"evt-sanity-vulture-1","Eu apontei a arma cuidadosamente e, com um tiro certeiro, derrubei o abutre. Ele caiu no chão [a cem metros de distância|como um amontanhado de penas|com um baque]. $name estava evidentemente aliviado."
"evt-sanity-vulture-2","Eu escolhi uma bala marcada para abater o abutre com um disparo [bem colocado|primordial| certeiro|preciso]. Ele caiu no chão [a cem metros de distância|como um amontanhado de penas|com um baque]. $Name estava tão impressionado quanto aliviado."
"evt-sanity-vulture-3","Tentei chamar $name à razão mas $he [não se acalmava|apenas citava mais absurdos supersticiosos|não ouvia] e [estragou|esvaziou|rebaixou|arruinou] a [moral|disposição] do grupo pelo resto da noite."
"evt-sanity-vulture-action-1","Abatê-lo com uma bala marcada"
"evt-sanity-vulture-action","Abatê-lo"
"evt-sanity-vulture","Havia [agitação|descontentamento] no grupo. $name apontou para o abutre que estava [pairando sobre nós|voando sobre nós]. De acordo com $ele, isto era um mau presságio para nossa aventura."
"evt-searchArea-action","Investigar área"
"evt-searchArea","[Eu estava confiante de que encontraríamos algo valioso aqui|Eu tinha certeza de que haviam riquezas para serem encontradas aqui|Este lugar certamente retinha algumas bugigangas de valor|O meu instinto me dizia que encontraríamos algo valioso aqui]. [Nos separamos e vasculhamos a área|Ordenei às pessoas que formassem pequenas equipes de busca para investigar os arredores|Nós formamos pequenas equipes e vasculhamos o lugar]."
"evt-shamanHut-cleanse-action","Purificar $name"
"evt-shamanHut-cleanse-trade-action","Pedir purificação"
"evt-shamanHut-cleanse-trade-deal","O xamã [rapidamente agarrou|apanhou] os bens oferecidos e então [perguntou quem ele devia curar|indicou ao afligido que se deitasse no chão diante dele]."
"evt-shamanHut-cleanse-trade","O xamã estava disposto a oferecer seus serviços, mas exigiu pagamento adiantado. Ele prometeu que o paciente ficaria curado de todas as [variedades|formas|espécies|naturezas] de [doenças|demônios] mentais após o ritual."
"evt-shamanHut-cleanse","O xamã começou a [entoar|cantar|dançar em círculos]. Ele parecia estar em comunhão com [os deuses|o outro lado|uma deidade desconhecida|os espíritos]. Depois de algum tempo ele se acalmou e nós deixamos $name em seus pés."
"evt-shamanHut-enter-action","Entrar na Oca"
"evt-shamanHut-enter","Nós entramos numa cabana bastante [incomum|misteriosa|estranha|peculiar|única]. [O lugar cheirava a madeira velha e úmida|O interior estava particularmente mofado|Estava escuro e úmido lá dentro], com [uma quantidade|vários tipos|várias espécies|uma variedade] de ervas secas e outras coisas bastante peculiares penduradas nas paredes. Um _xamã_ local aproximou-se de nós com [olhos arregalados|um olhar ausente] enquanto mastigava algumas folhas."
"evt-shamanHut-heal-infected-2","O xamã iniciou um ritual no qual as feridas de $name foram tratadas. [Alguns camundongos decapitados depois e|Depois de digerir o que parecia ser um ensopado composto de todos os tipos de partes de pássaros,] $name sentiu-se esplêndido."
"evt-shamanHut-heal-infected","O xamã sacudiu a cabeça quando olhou a ferida de $name. Teríamos que pagar a mais por ingredientes capazes de curar tamanha infecção."
"evt-shamanHut-heal-injured","O xamã iniciou um ritual no qual ele tratou as feridas de $name. [Depois de algumas galinhas decapitadas|Depois de meia dúzia de lesmas engolidas|Depois de digerir o que pareceu ser uma sopa feita de todos os tipos de partes de insetos] $he sentiu-se muito melhor."
"evt-shamanHut-heal-trade-action","Pedir por cura"
"evt-shamanHut-heal-trade-deal","O xamã [agarrou rapidamente|apanhou] os bens oferecidos e depois [perguntou quem ele deveria curar|acenou ao ferido para que se aproximasse dele]."
"evt-shamanHut-heal-trade","O xamã estava disposto a oferecer seus serviços, mas exigia pagamento adiantado."
"evt-shamanHut-trade-cancel","Nós não chegamos a um acordo com o xamã."
"evt-shamanHut-trade-deal","[Após alguma negociação nós|Demandou algum esforço, mas depois de tudo nós] [chegamos a um acordo|fizemos um acordo] com o xamã."
"evt-shamanHut-trade","[Devagarinho|Timidamente|Como se o tempo se movesse mais devagar para ele] o xamã tirou uma [pequena caixa|caixa|bolsa feita de pele de animal] e apresentou as suas mercadorias."
"evt-ship-arrival","[Eu estava terminando minha rotina matinal quando|Eu estava em profunda concentração nos meus estudos sobre esta área quando|Cedo esta manhã|A viagem através do oceano trouxe muitas visões maravilhosas da vida marinha até que|Os meus pensamentos estavam focados na próxima expedição até que|Depois de uma surpreendentemente calma viagem|Não me atrevo a relatar os perigos e tribulações da viagem, mas felizmente|Após semanas viajando|Depois de muitos dias salgados no mar|Depois de quase não conseguir sobreviver a uma das mais monstruosas tempestades que vi a bordo de um navio|Era glorioso navegar nos mares abertos, e fiquei um pouco triste quando|Depois de semanas comendo coisas nojentas e de enjoos|Mais uma cantiga de marujo e eu juro que me atiro borda fora, mas felizmente|Eu tinha ouvido tantas cantigas de marujo que daria para fazer meu próprio musical, por isso aliviei-me quando|Justo quando pensei que nunca encontraríamos um caminho através destas águas|No nevoeiro cerrado de uma manhã chuvosa] [nós chegamos ao local da nossa iminente aventura|nós finalmente alcançamos a margem da área da nossa expedição|nós chegamos à área da nossa expedição|um dos tripulantes gritou Terra à Vista|um litoral surgiu na névoa matinal]. [A terra abriu-se à nossa frente, convidando-nos à aventura|A paisagem estrangeira atraiu-nos à exploração|Eu tinha curiosidade para descobrir que aventuras nos esperavam aqui|Nós tínhamos chegado, e era a hora de seguir em frente|Eu sabia que este lugar continha algo de especial para nós]."
"evt-ship-beginExpedition-action","Iniciar Expedição"
"evt-ship-goHome-1","[Não havia nada que pudéssemos ter feito|Havia apenas uma solução|Eu tive que chegar a um acordo com a realidade]. [Nós precisávamos sair o mais rápido possível|Nós estávamos voltando para casa|O momento para a nossa partida estava próximo], [e eu ordenei ao capitão que preparasse a nossa embarcação|por isso colocamos as nossas caixas no navio e partimos]. O inexplorado permanecerá oculto por agora."
"evt-ship-goHome-action-1","Abortar Expedição"
"evt-ship-goHome-action-2","Zarpar"
"evt-ship-goHome-action-3","Continuar Exploração"
"evt-ship-goHome-action","Zarpar para casa"
"evt-ship-goHome-success-action","Navegar vitoriosamente para casa"
"evt-ship-goHome-success","[O nosso trabalho aqui estava feito|A nossa expedição tinha sido um verdadeiro sucesso|Eu tinha conseguido tudo o que queria aqui|O nosso triunfo aqui superou de longe as nossas mais loucas imaginações|Com toda a informação compilada sobre a Pirâmide Dourada meu trabalho aqui estava feito]. [O navio deixou as margens num momento glorioso|Uma última vez, olhei de relance para as terras exploradas|Em um momento de silêncio eu refleti sobre as perdas que sofremos por este breve momento de vitória|Comparei o que tínhamos ganho com o que tínhamos perdido|Lembrei-me das coisas grandiosas que tínhamos deixado para trás nestas terras amaldiçoadas]. A nossa embarcação rumou para [a Inglaterra|a Grã-Bretanha|Londres|casa]. [Eu mal podia esperar para chegar em casa e falar sobre tudo o que tínhamos encontrado aqui|Eu sofria de ansiedade para compartilhar a história da nossa aventura|Eu mal podia esperar para ler a história do nosso regresso nos jornais|Eu sabia que os meus netos falariam sobre esta aventura muito tempo depois de eu morrer]."
"evt-ship-goHome","[Tive que me perguntar outra vez|Refleti sobre os valores do meu pai|Refleti sobre os valores dos meus pais|Recordei os ensinamentos de minha mãe|Tive que escutar o meu coração outra vez|Pausei para refletir durante um momento]. [Será que vim por causa disto?|Será que queria realmente abortar esta expedição?]"
"evt-ship-headOutFirst","[Eu sabia que uma equipe bem preparada era absolutamente essencial para uma expedição bem sucedida|Uma cuidadosa preparação seria fundamental para a nossa expedição|Uma preparação astuta era essencial para a nossa tarefa|Uma preparação sábia era vital para uma jornada próspera|A falta de prontidão e recursos acabaria com a expedição desde o início, o que eu não permitiria|Eu tive que considerar as nossas opções cuidadosamente e estar preparado para a nossa futura expedição]. Contudo, [eu estava começando a sentir o desejo de partir para o desconhecido|se eu quisesse que a estátua da sociedade fosse minha, precisávamos sair às pressas|eu não conseguia afastar a sensação de que o capitão queria que eu saísse às pressas|tive a sensação de que o capitão queria que eu partisse|tive que ir andando para evitar que os meus rivais ganhassem uma vantagem considerável nas suas expedições]."
"evt-ship-leave-action","Voltar à expedição"
"evt-ship-morning","[Após dias de descanso nós ainda aproveitamos o|Enquanto nos preparávamos para partir, eu sabia que iria sentir falta do|Enquanto empacotávamos as coisas eu apreciei mais uma vez o] [ambiente|cheiro fresco de mar|conforto|bem estar] [do navio|do barco|da nossa embarcação|a bordo no barco]. Mesmo assim, eu [não conseguia me livrar do sentimento de|estava com a impressão de|cada vez mais sentia|notei|senti|estava começando a sentir] que [o capitão queria que abandonássemos o navio|o capitão estava começando a ficar incomodado com nossa estadia prolongada|o capitão estava ficando irritado com nossa estadia]."
"evt-ship-refillWater-1","Eu me certifiquei de levar algumas rações extras de água das provisões [do navio|da embarcação|do barco]."
"evt-ship-refillWater-first-1","Eu me certifiquei de trazer algumas rações de água adicionais dos estoques da nossa embarcação."
"evt-ship-refillWater-first","Eu estava confiante de que já tínhamos carregado água suficiente. Levar água em excesso certamente sobrecarregaria a nossa expedição."
"evt-ship-refillWater","Eu tinha certeza de que já havíamos carregado água suficiente. Levar mais só acrescentaria um fardo desnecessário à nossa jornada."
"evt-ship-return-action","Retornar ao navio"
"evt-ship-return","[Nós retornamos ao nosso navio|A nossa embarcação ainda estava na costa onde havíamos ancorado|O capitão me cumprimentou quando nos aproximamos do nosso navio esta manhã]. [Estar aqui quase se parecia com a segurança de estar em casa|Vê-la novamente fez-me sentir saudades de casa|Eu parei para apreciar a beleza da nossa embarcação|De repente eu senti saudades de casa e me perguntei quanto tempo mais eu precisaria ficar aqui fora]."
"evt-ship-stash-first-1","Insisti que conseguíssemos as melhores ferramentas possíveis para a missão que nos aguardava."
"evt-ship-stash-first-action","Acessar Depósito do Navio"
"evt-ship-stash-first-title","Depósito do Navio"
"evt-ship-stash-first","Eu realmente [queria|ansiava|desejava] sair com um equipamento adequado."
"evt-shipwreck-enter","[Hoje fizemos uma descoberta peculiar|Encontramos algo de extraordinário interesse|Hoje fizemos uma descoberta fantástica|Fizemos uma descoberta incomum|Encontramos algo altamente incomum]. [Um decaído naufrágio se encontrava diante de nós|À nossa frente, jazia um misterioso navio naufragado, quase completamente desfeito|Encontramos os restos de um velho barco|Os restos de um barco deteriorado surgiam à nossa frente]. [Até onde eu podia dizer, ele poderia ter sido um tipo de barco pirata|Ele se parecia com um velho barco pirata|Permaneceu um mistério para mim como aquilo poderia ter acabado neste lugar]. [Ele parecia estar encalhado aqui a muito tempo|Ele deve ter estado aqui por mais de 100 anos|O tempo tinha certamente deixado a sua marca nesta outrora majestosa embarcação|As tábuas podres pareciam poder desmoronar a qualquer momento|Era um milagre que ele ainda não tinha colapsado]. Eu [tentei|busquei|fiz um esforço para] [identificar|distinguir|descobrir|ler|decifrar] o nome [mas ele estava demasiado podre para decifrar|mas ele estava demasiado velho para ler|mas o tempo tinha apagado a sua identidade|: Madinina|: The Allanson Rosalinda|: The HMS Beagle. Que peculiar|: The Black Rock|: Whydah|: CSS Alabama|: Fancy|: Madame Destiny|: Adventure Galley|: Santa Maria|: HMS Terror]."
"evt-shrine-10","Eu podia jurar que ouvi o som de _água_ correndo [debaixo do chão|sob nossos pés|abaixo da terra aqui|sob nossos próprios pés]."
"evt-shrine-11","Uma camada espessa de _areia_ parecia cercar a estrutura."
"evt-shrine-12","A superfície em torno da estrutura [emitia calor|emitia calor considerável|era quente ao toque]. Ainda era possível caminhar lá, mas a potencial fonte desse calor era desconcertante."
"evt-shrine-13","Símbolos _celestiais_ do sol, lua e estrelas estavam esculpidos nas variadas superfícies da estrutura."
"evt-shrine-2-action","Examinar o santuário"
"evt-shrine-2","[Um grande edifício surgiu diante de nós|Nós nos deparamos com um templo feito de pedras gigantes|Um templo, há muito esquecido pela humanidade, estava banhado em luz diante de nós|O templo à nossa frente impunha tanto medo como respeito|Chegamos a um santuário há muito esquecido|Chegamos a uma estrutura majestosa, aparentemente um santuário sagrado para os habitantes da região]. [As suas paredes de pedra estavam cobertas com gravuras ornamentadas|Todas as formas de vida vegetal cresciam em direção ao sol|Era um testamento ao poder dos seus criadores]. [Videiras baixas parcialmente cobriam a entrada que levava ao interior|Grandes escadas subiam até a uma entrada enorme|O portal que levava ao interior emitia um frio assustador|Um círculo de sangue seco tinha sido desenhado à volta da estrutura como um aviso a quem se atrevesse a entrar]."
"evt-shrine-3","Um templo erguia-se perante nós. [Estava em terríveis condições, pois a ação do tempo o havia abatido durante séculos|Parecia tão velho como o próprio tempo|O tempo cobrou o preço da estrutura|O tempo tinha corroído o que antes tinha sido uma vista majestosa]. [Nós teríamos que _escalar_ a face da estrutura para chegar à entrada|O que restava de uma _escada estreita_ guiava à única entrada|Eu conseguia ver a entrada numa plataforma mais acima. Nós teríamos que _escalar_ as paredes exteriores de forma a alcançar a entrada]."
"evt-shrine-4","O método de acesso ao santuário tinha desmoronado e estava [enterrado por baixo de|agora por baixo de|agora escondido por|infelizmente obstruído por] toneladas de imensas pedras. Não havia forma de explorá-lo mais."
"evt-shrine-5","A estrutura mostrou umas _fendas_ [grandes|compridas], mas parecia [segura|não ser perigosa] o suficiente para explorar."
"evt-shrine-6","Algo parecia [estranho|esquisito|sobrenatural|fora do normal] sobre este lugar. Eu não pude deixar de notar que as _sombras_ pareciam [ser mais longas e escuras que o normal|ondular artificialmente|se mexer de uma forma incomum]."
"evt-shrine-7","Haviam umas marcas _brancas_ desenhadas à volta da entrada do portal."
"evt-shrine-8","Várias _pegadas_ [de animais|não humanas|selvagens] eram visíveis à volta da estrutura. Era possível que fosse usado como um lugar de procriação por alguma espécie."
